"Indicador","Ano","UF","Numerador - Obitos em menores de 5 anos estimados","Denominador - Nascidos vivos estimados","Fator"
"MRT.1.05",2008,22,1444.0,56149.0,1000
"MRT.1.05",2008,23,3001.0,140560.0,1000
"MRT.1.05",2008,24,1186.0,52793.0,1000
"MRT.1.05",2008,25,1511.0,63013.0,1000
"MRT.1.05",2008,26,3255.0,152643.0,1000
"MRT.1.05",2008,27,1540.0,62116.0,1000
"MRT.1.05",2008,28,897.0,37238.0,1000
"MRT.1.05",2008,29,6019.0,234237.0,1000
"MRT.1.05",2008,31,5246.0,270840.0,1000
"MRT.1.05",2008,32,876.0,53926.0,1000
"MRT.1.05",2008,33,3651.0,217280.0,1000
"MRT.1.05",2008,35,8830.0,605828.0,1000
"MRT.1.05",2008,41,2327.0,152738.0,1000
"MRT.1.05",2008,42,1194.0,85146.0,1000
"MRT.1.05",2008,43,1990.0,136467.0,1000
"MRT.1.05",2008,50,854.0,42103.0,1000
"MRT.1.05",2008,51,1191.0,53514.0,1000
"MRT.1.05",2008,52,1745.0,92605.0,1000
"MRT.1.05",2008,53,598.0,44369.0,1000
"MRT.1.05",2009,11,662.0,29207.0,1000
"MRT.1.05",2009,12,473.0,17746.0,1000
"MRT.1.05",2009,13,2086.0,83237.0,1000
"MRT.1.05",2009,14,225.0,10671.0,1000
"MRT.1.05",2009,15,3986.0,156243.0,1000
"MRT.1.05",2009,16,451.0,16531.0,1000
"MRT.1.05",2009,17,632.0,26299.0,1000
"MRT.1.05",2009,21,3460.0,136368.0,1000
"MRT.1.05",2009,22,1286.0,53877.0,1000
"MRT.1.05",2009,23,2864.0,136951.0,1000
"MRT.1.05",2009,24,1074.0,51617.0,1000
"MRT.1.05",2009,25,1285.0,63265.0,1000
"MRT.1.05",2009,26,3104.0,149052.0,1000
"MRT.1.05",2009,27,1392.0,57832.0,1000
"MRT.1.05",2009,28,755.0,35794.0,1000
"MRT.1.05",2009,29,5639.0,228750.0,1000
"MRT.1.05",2009,31,4806.0,262105.0,1000
"MRT.1.05",2009,32,737.0,52692.0,1000
"MRT.1.05",2009,33,3693.0,218068.0,1000
"MRT.1.05",2009,35,8789.0,602449.0,1000
"MRT.1.05",2009,41,2174.0,150146.0,1000
"MRT.1.05",2009,42,1106.0,84268.0,1000
"MRT.1.05",2009,43,1853.0,134208.0,1000
"MRT.1.05",2009,50,902.0,40871.0,1000
"MRT.1.05",2009,51,1184.0,53836.0,1000
"MRT.1.05",2009,52,1631.0,89887.0,1000
"MRT.1.05",2009,53,610.0,44127.0,1000
"MRT.1.05",2010,11,632.0,28170.0,1000
"MRT.1.05",2010,12,400.0,16354.0,1000
"MRT.1.05",2010,13,1806.0,79456.0,1000
"MRT.1.05",2010,14,184.0,10686.0,1000
"MRT.1.05",2010,15,3679.0,151011.0,1000
"MRT.1.05",2010,16,422.0,16535.0,1000
"MRT.1.05",2010,17,600.0,25841.0,1000
"MRT.1.05",2010,21,3014.0,130450.0,1000
"MRT.1.05",2010,22,1123.0,51752.0,1000
"MRT.1.05",2010,23,2432.0,134517.0,1000
"MRT.1.05",2010,24,899.0,49463.0,1000
"MRT.1.05",2010,25,1183.0,61148.0,1000
"MRT.1.05",2010,26,2677.0,142786.0,1000
"MRT.1.05",2010,27,1227.0,57360.0,1000
"MRT.1.05",2010,28,674.0,34794.0,1000
"MRT.1.05",2010,29,5150.0,220757.0,1000
"MRT.1.05",2010,31,4408.0,262127.0,1000
"MRT.1.05",2010,32,723.0,53189.0,1000
"MRT.1.05",2010,33,3541.0,216696.0,1000
"MRT.1.05",2010,35,8281.0,604953.0,1000
"MRT.1.05",2010,41,2174.0,152057.0,1000
"MRT.1.05",2010,42,1047.0,85008.0,1000
"MRT.1.05",2010,43,1759.0,133496.0,1000
"MRT.1.05",2010,50,745.0,41207.0,1000
"MRT.1.05",2010,51,999.0,51501.0,1000
"MRT.1.05",2010,52,1521.0,91533.0,1000
"MRT.1.05",2010,53,621.0,44449.0,1000
"MRT.1.05",2011,11,500.0,29467.0,1000
"MRT.1.05",2011,12,371.0,18081.0,1000
"MRT.1.05",2011,13,1844.0,81624.0,1000
"MRT.1.05",2011,14,193.0,10857.0,1000
"MRT.1.05",2011,15,3487.0,151290.0,1000
"MRT.1.05",2011,16,404.0,16018.0,1000
"MRT.1.05",2011,17,536.0,26202.0,1000
"MRT.1.05",2011,21,2899.0,130708.0,1000
"MRT.1.05",2011,22,1103.0,52077.0,1000
"MRT.1.05",2011,23,2285.0,133765.0,1000
"MRT.1.05",2011,24,887.0,50379.0,1000
"MRT.1.05",2011,25,1103.0,60564.0,1000
"MRT.1.05",2011,26,2448.0,147201.0,1000
"MRT.1.05",2011,27,1145.0,56858.0,1000
"MRT.1.05",2011,28,707.0,35668.0,1000
"MRT.1.05",2011,29,4759.0,219096.0,1000
"MRT.1.05",2011,31,4369.0,264724.0,1000
"MRT.1.05",2011,32,798.0,54462.0,1000
"MRT.1.05",2011,33,3623.0,222073.0,1000
"MRT.1.05",2011,35,8365.0,613672.0,1000
"MRT.1.05",2011,41,2075.0,151564.0,1000
"MRT.1.05",2011,42,1201.0,88519.0,1000
"MRT.1.05",2011,43,1825.0,138792.0,1000
"MRT.1.05",2011,50,700.0,42486.0,1000
"MRT.1.05",2011,51,979.0,53298.0,1000
"MRT.1.05",2011,52,1654.0,94656.0,1000
"MRT.1.05",2011,53,573.0,43657.0,1000
"MRT.1.05",2012,11,500.0,27727.0,1000
"MRT.1.05",2012,12,376.0,17031.0,1000
"MRT.1.05",2012,13,1921.0,82629.0,1000
"MRT.1.05",2012,14,246.0,11509.0,1000
"MRT.1.05",2012,15,3213.0,146086.0,1000
"MRT.1.05",2012,16,423.0,15489.0,1000
"MRT.1.05",2012,17,470.0,25451.0,1000
"MRT.1.05",2012,21,2548.0,123926.0,1000
"MRT.1.05",2012,22,1006.0,49447.0,1000
"MRT.1.05",2012,23,2213.0,131381.0,1000
"MRT.1.05",2012,24,899.0,49211.0,1000
"MRT.1.05",2012,25,1079.0,58040.0,1000
"MRT.1.05",2012,26,2504.0,145912.0,1000
"MRT.1.05",2012,27,1025.0,55412.0,1000
"MRT.1.05",2012,28,665.0,34273.0,1000
"MRT.1.05",2012,29,4527.0,215259.0,1000
"MRT.1.05",2012,31,4185.0,265146.0,1000
"MRT.1.05",2012,32,728.0,54263.0,1000
"MRT.1.05",2012,33,3611.0,224342.0,1000
"MRT.1.05",2012,35,8198.0,619874.0,1000
"MRT.1.05",2012,41,2084.0,152341.0,1000
"MRT.1.05",2012,42,1112.0,89449.0,1000
"MRT.1.05",2012,43,1797.0,140098.0,1000
"MRT.1.05",2012,50,676.0,42924.0,1000
"MRT.1.05",2012,51,982.0,53070.0,1000
"MRT.1.05",2012,52,1667.0,93908.0,1000
"MRT.1.05",2012,53,586.0,43689.0,1000
